i:  20200, t:    57392.9 s (1.29 periods), wall: 43.688 minutes, Δt:   1.52, CFL: 7.20e-01
i:  20300, t:    57535.5 s (1.29 periods), wall: 43.900 minutes, Δt:   1.33, CFL: 7.20e-01
i:  20400, t:    57661.2 s (1.29 periods), wall: 44.114 minutes, Δt:   1.50, CFL: 7.20e-01
i:  20500, t:    57800.3 s (1.29 periods), wall: 44.326 minutes, Δt:   1.58, CFL: 7.20e-01
i:  20600, t:    57953.0 s (1.30 periods), wall: 44.539 minutes, Δt:   1.43, CFL: 7.20e-01
i:  20700, t:    58104.7 s (1.30 periods), wall: 44.753 minutes, Δt:   1.63, CFL: 7.20e-01
i:  20800, t:    58264.1 s (1.31 periods), wall: 44.967 minutes, Δt:   1.55, CFL: 7.20e-01
i:  20900, t:    58415.6 s (1.31 periods), wall: 45.179 minutes, Δt:   1.30, CFL: 7.20e-01
i:  21000, t:    58563.0 s (1.31 periods), wall: 45.393 minutes, Δt:   1.46, CFL: 7.20e-01
i:  21100, t:    58718.3 s (1.32 periods), wall: 45.606 minutes, Δt:   1.56, CFL: 7.20e-01
i:  21200, t:    58868.6 s (1.32 periods), wall: 45.819 minutes, Δt:   1.50, CFL: 7.20e-01
i:  21300, t:    59011.6 s (1.32 periods), wall: 46.033 minutes, Δt:   1.43, CFL: 7.20e-01
i:  21400, t:    59170.5 s (1.33 periods), wall: 46.246 minutes, Δt:   1.69, CFL: 7.20e-01
i:  21500, t:    59338.6 s (1.33 periods), wall: 46.459 minutes, Δt:   1.66, CFL: 7.20e-01
i:  21600, t:    59501.6 s (1.33 periods), wall: 46.673 minutes, Δt:   1.57, CFL: 7.20e-01
i:  21700, t:    59664.6 s (1.34 periods), wall: 46.887 minutes, Δt:   1.73, CFL: 7.20e-01
i:  21800, t:    59839.8 s (1.34 periods), wall: 47.101 minutes, Δt:   1.95, CFL: 7.20e-01
i:  21900, t:    60008.1 s (1.34 periods), wall: 47.313 minutes, Δt:   1.79, CFL: 7.20e-01
i:  22000, t:    60187.5 s (1.35 periods), wall: 47.527 minutes, Δt:   1.96, CFL: 7.20e-01
i:  22100, t:    60372.5 s (1.35 periods), wall: 47.741 minutes, Δt:   1.80, CFL: 7.20e-01
i:  22200, t:    60570.2 s (1.36 periods), wall: 47.954 minutes, Δt:   1.86, CFL: 7.20e-01
i:  22300, t:    60752.9 s (1.36 periods), wall: 48.167 minutes, Δt:   1.61, CFL: 7.20e-01
i:  22400, t:    60918.5 s (1.36 periods), wall: 48.380 minutes, Δt:   1.78, CFL: 7.20e-01
i:  22500, t:    61088.6 s (1.37 periods), wall: 48.594 minutes, Δt:   1.54, CFL: 7.20e-01
i:  22600, t:    61275.9 s (1.37 periods), wall: 48.808 minutes, Δt:   1.73, CFL: 7.20e-01
i:  22700, t:    61460.1 s (1.38 periods), wall: 49.022 minutes, Δt:   1.79, CFL: 7.20e-01
i:  22800, t:    61660.9 s (1.38 periods), wall: 49.236 minutes, Δt:   2.00, CFL: 7.20e-01
i:  22900, t:    61860.2 s (1.39 periods), wall: 49.450 minutes, Δt:   2.20, CFL: 7.20e-01
i:  23000, t:    62062.0 s (1.39 periods), wall: 49.663 minutes, Δt:   1.95, CFL: 7.20e-01
i:  23100, t:    62280.6 s (1.40 periods), wall: 49.877 minutes, Δt:   2.49, CFL: 7.20e-01
i:  23200, t:    62496.0 s (1.40 periods), wall: 50.088 minutes, Δt:   2.18, CFL: 7.20e-01
i:  23300, t:    62724.1 s (1.41 periods), wall: 50.302 minutes, Δt:   2.29, CFL: 7.20e-01
i:  23400, t:    62965.6 s (1.41 periods), wall: 50.516 minutes, Δt:   2.59, CFL: 7.20e-01
i:  23500, t:    63202.7 s (1.42 periods), wall: 50.731 minutes, Δt:   2.72, CFL: 7.20e-01
i:  23600, t:    63468.9 s (1.42 periods), wall: 50.946 minutes, Δt:   2.90, CFL: 7.20e-01
i:  23700, t:    63763.2 s (1.43 periods), wall: 51.161 minutes, Δt:   3.31, CFL: 7.20e-01
i:  23800, t:    64068.7 s (1.44 periods), wall: 51.378 minutes, Δt:   3.72, CFL: 7.20e-01
i:  23900, t:    64431.2 s (1.44 periods), wall: 51.590 minutes, Δt:   3.80, CFL: 7.20e-01
i:  24000, t:    64749.3 s (1.45 periods), wall: 51.808 minutes, Δt:   3.85, CFL: 7.20e-01
i:  24100, t:    65120.4 s (1.46 periods), wall: 52.022 minutes, Δt:   4.16, CFL: 7.20e-01
i:  24200, t:    65608.5 s (1.47 periods), wall: 52.239 minutes, Δt:   5.63, CFL: 7.20e-01
i:  24300, t:    66196.4 s (1.48 periods), wall: 52.458 minutes, Δt:   5.48, CFL: 7.20e-01
i:  24400, t:    66736.2 s (1.49 periods), wall: 52.673 minutes, Δt:   6.57, CFL: 7.20e-01
i:  24500, t:    67363.5 s (1.51 periods), wall: 52.901 minutes, Δt:   6.42, CFL: 7.20e-01
i:  24600, t:    67964.8 s (1.52 periods), wall: 53.120 minutes, Δt:   6.96, CFL: 7.20e-01
i:  24700, t:    68626.1 s (1.54 periods), wall: 53.339 minutes, Δt:   6.67, CFL: 7.20e-01
i:  24800, t:    69282.5 s (1.55 periods), wall: 53.558 minutes, Δt:   6.35, CFL: 7.20e-01
