i:      0, t:        0.0 s (0.00 periods), wall: 24.109 seconds, Δt:   1.20, CFL: 1.71e-01
i:  21500, t:    57964.2 s (1.30 periods), wall: 24.132 minutes, Δt:   1.15, CFL: 7.20e-01
i:  21600, t:    58105.1 s (1.30 periods), wall: 24.241 minutes, Δt:   1.33, CFL: 7.20e-01
i:  21700, t:    58253.9 s (1.30 periods), wall: 24.349 minutes, Δt:   1.64, CFL: 7.20e-01
i:  21800, t:    58410.7 s (1.31 periods), wall: 24.458 minutes, Δt:   1.45, CFL: 7.20e-01
i:  21900, t:    58550.8 s (1.31 periods), wall: 24.567 minutes, Δt:   1.76, CFL: 7.20e-01
i:  22000, t:    58714.5 s (1.32 periods), wall: 24.675 minutes, Δt:   1.80, CFL: 7.20e-01
i:  22100, t:    58878.6 s (1.32 periods), wall: 24.784 minutes, Δt:   1.04, CFL: 7.20e-01
i:  22200, t:    59005.5 s (1.32 periods), wall: 24.892 minutes, Δt:   1.50, CFL: 7.20e-01
i:  22300, t:    59165.7 s (1.33 periods), wall: 25.001 minutes, Δt:   1.81, CFL: 7.20e-01
i:  22400, t:    59324.7 s (1.33 periods), wall: 25.109 minutes, Δt:   1.65, CFL: 7.20e-01
i:  22500, t:    59494.9 s (1.33 periods), wall: 25.218 minutes, Δt:   1.72, CFL: 7.20e-01
i:  22600, t:    59668.6 s (1.34 periods), wall: 25.327 minutes, Δt:   1.73, CFL: 7.20e-01
i:  22700, t:    59840.1 s (1.34 periods), wall: 25.436 minutes, Δt:   1.70, CFL: 7.20e-01
i:  22800, t:    60021.8 s (1.34 periods), wall: 25.544 minutes, Δt:   1.88, CFL: 7.20e-01
i:  22900, t:    60211.8 s (1.35 periods), wall: 25.653 minutes, Δt:   1.86, CFL: 7.20e-01
i:  23000, t:    60393.9 s (1.35 periods), wall: 25.761 minutes, Δt:   1.62, CFL: 7.20e-01
i:  23100, t:    60548.4 s (1.36 periods), wall: 25.870 minutes, Δt:   1.83, CFL: 7.20e-01
i:  23200, t:    60704.6 s (1.36 periods), wall: 25.978 minutes, Δt:   1.40, CFL: 7.20e-01
i:  23300, t:    60886.7 s (1.36 periods), wall: 26.087 minutes, Δt:   1.94, CFL: 7.20e-01
i:  23400, t:    61092.8 s (1.37 periods), wall: 26.196 minutes, Δt:   2.23, CFL: 7.20e-01
i:  23500, t:    61290.6 s (1.37 periods), wall: 26.304 minutes, Δt:   2.04, CFL: 7.20e-01
i:  23600, t:    61508.1 s (1.38 periods), wall: 26.413 minutes, Δt:   1.98, CFL: 7.20e-01
i:  23700, t:    61694.2 s (1.38 periods), wall: 26.522 minutes, Δt:   1.99, CFL: 7.20e-01
i:  23800, t:    61916.6 s (1.39 periods), wall: 26.631 minutes, Δt:   2.41, CFL: 7.20e-01
i:  23900, t:    62164.2 s (1.39 periods), wall: 26.740 minutes, Δt:   2.57, CFL: 7.20e-01
i:  24000, t:    62422.4 s (1.40 periods), wall: 26.849 minutes, Δt:   2.20, CFL: 7.20e-01
i:  24100, t:    62621.6 s (1.40 periods), wall: 26.957 minutes, Δt:   2.13, CFL: 7.20e-01
i:  24200, t:    62882.2 s (1.41 periods), wall: 27.066 minutes, Δt:   3.18, CFL: 7.20e-01
i:  24300, t:    63177.0 s (1.42 periods), wall: 27.176 minutes, Δt:   3.07, CFL: 7.20e-01
i:  24400, t:    63484.7 s (1.42 periods), wall: 27.285 minutes, Δt:   2.79, CFL: 7.20e-01
