================ Case Ri0 : simulation ================
i:  22900, t:   122148.2 s (2.74 periods), wall: 2.498 hours, Δt:   4.13, CFL: 7.20e-01
i:  23000, t:   122548.9 s (2.75 periods), wall: 2.507 hours, Δt:   4.05, CFL: 7.20e-01
i:  23100, t:   122951.7 s (2.75 periods), wall: 2.516 hours, Δt:   4.08, CFL: 7.20e-01
i:  23200, t:   123358.7 s (2.76 periods), wall: 2.525 hours, Δt:   4.06, CFL: 7.20e-01
i:  23300, t:   123749.9 s (2.77 periods), wall: 2.533 hours, Δt:   3.96, CFL: 7.20e-01
i:  23400, t:   124125.4 s (2.78 periods), wall: 2.543 hours, Δt:   3.73, CFL: 7.20e-01
i:  23500, t:   124503.0 s (2.79 periods), wall: 2.552 hours, Δt:   3.86, CFL: 7.20e-01
i:  23600, t:   124876.8 s (2.80 periods), wall: 2.561 hours, Δt:   3.72, CFL: 7.20e-01
i:  23700, t:   125237.0 s (2.81 periods), wall: 2.570 hours, Δt:   3.64, CFL: 7.20e-01
i:  23800, t:   125612.6 s (2.81 periods), wall: 2.578 hours, Δt:   3.85, CFL: 7.20e-01
i:  23900, t:   126001.9 s (2.82 periods), wall: 2.587 hours, Δt:   4.07, CFL: 7.20e-01
i:  24000, t:   126420.4 s (2.83 periods), wall: 2.596 hours, Δt:   4.10, CFL: 7.20e-01
i:  24100, t:   126826.9 s (2.84 periods), wall: 2.605 hours, Δt:   4.13, CFL: 7.20e-01
i:  24200, t:   127245.1 s (2.85 periods), wall: 2.614 hours, Δt:   4.21, CFL: 7.20e-01
i:  24300, t:   127669.9 s (2.86 periods), wall: 2.624 hours, Δt:   4.44, CFL: 7.20e-01
i:  24400, t:   128097.9 s (2.87 periods), wall: 2.633 hours, Δt:   4.42, CFL: 7.20e-01
i:  24500, t:   128553.2 s (2.88 periods), wall: 2.642 hours, Δt:   4.93, CFL: 7.20e-01
i:  24600, t:   129028.5 s (2.89 periods), wall: 2.651 hours, Δt:   4.79, CFL: 7.20e-01
i:  24700, t:   129531.0 s (2.90 periods), wall: 2.659 hours, Δt:   5.24, CFL: 7.20e-01
i:  24800, t:   130066.7 s (2.91 periods), wall: 2.667 hours, Δt:   5.37, CFL: 7.20e-01
i:  24900, t:   130620.7 s (2.93 periods), wall: 2.676 hours, Δt:   5.89, CFL: 7.20e-01
i:  25000, t:   131234.1 s (2.94 periods), wall: 2.684 hours, Δt:   6.79, CFL: 7.20e-01
